,Atributo,Descripción,Obligación /Condición,Tipo de dato,Ejemplo,Entidad
91,País,Nombre del País en inglés,Indexado, Texto(TEXT),Afghanistan,huella_biocapacidad
92,Indice Objetivos de Desarrollo Sostenible(ODSi),"Clasifica los países sobre la base de 17 ODS individuales,  indica la posición del país entre los casos peor (0) y mejor (100).",Indexado,DOUBLE,58.3,huella_biocapacidad
93,Expectativa de vida.,Es la media de la cantidad de años que vive una determinada población absoluta o total en un cierto período.,Indexado,INT,77,huella_biocapacidad
94,Indice de Desarrollo Humano (HDI),"El Índice de Desarrollo Humano (IDH) es una medida resumida del logro promedio en dimensiones clave del desarrollo humano: una vida larga y saludable, estar bien informado y tener un nivel de vida decente(entre 0,1 y 1,0).",Indexado,DOUBLE,0.75,huella_biocapacidad
95,PiB Per Capita,Mide la producción económica de una nación por persona determinando su prosperidad.,Indexado,DOUBLE,91608.03,huella_biocapacidad
96,Grupo de Ingresos,"El Banco Mundial asigna las economías del mundo a cuatro grupos de ingresos: países de ingresos bajos, medios-bajos, medianos-altos y de ingresos altos.",Indexado,Texto(TEXT),Ingresos Altos,huella_biocapacidad
97,Población,Cantidad de habitantes de un territorio.,Indexado,DOUBLE ,4298127000000,huella_biocapacidad
98,Huella de Carbono,La huella de carbono representa el volumen total de gases de efecto invernadero (GEI) que producen las actividades económicas y cotidianas del ser humano pasada por equivalencia a hg (hectárea global),Indexado,DOUBLE ,2.7,huella_biocapacidad
99,Huella Ecológica,"Total de superficie ecológicamente productiva para producir los recursos consumidos por un pais y los residuos que genera.  Unidad hg (hectárea global)
",Indexado,DOUBLE ,2.7,huella_biocapacidad
100,Biocapacidad ,Representa la disponibilidad de superficie biológicamente productiva del país.,Indexado,DOUBLE,2.8,huella_biocapacidad
101,Tierra,Cociente  entre (huella ecologica/biocapacidad) define la cantidad de  planetas Tierra que se necesita para sustentar a la población.,Indexado,DOUBLE,1.8,huella_biocapacidad
102,Id_País,Código obtenido mediante funcion hash aplicada al país de la emisión.,Clave Primaria, Texto(TEXT),e4dd5528f7596dcdf871aa55cfccc53c,huella_biocapacidad
